Team,S.No,Player,Nationality,Category,Role,Key Strength,Weakness
Jaffna Kings,13,Nuwanindu Fernando,Sri Lanka,Classic,Batsman,Steady anchor,Slow SR
Jaffna Kings,14,Ibrahim Zadran,Afghanistan,Gold,Opening Batsman,Composed opener,Away unfamiliarity
Jaffna Kings,15,Dilshan Madushanka,Sri Lanka,Gold,Left-Arm Fast,Swing & seam,Inconsistent
Jaffna Kings,16,Kamil Mishara,Sri Lanka,Gold,WK-Batsman,Middle-lower order,Limited intl
Jaffna Kings,17,Traveen Mathews,Sri Lanka,Gold,All-Rounder,Utility player,Consistency
Jaffna Kings,18,David Wiese,South Africa,Platinum,All-Rounder,Big hitting finisher,Inconsistent bowling
Jaffna Kings,19,Avishka Fernando,Sri Lanka,Platinum,Opening Batsman,Explosive top order,Inconsistency
Dambulla Sixers,1,Reeza Hendricks,South Africa,Star,Opening Batsman,Explosive start,Slow on flat tracks
Dambulla Sixers,2,Dinesh Chandimal,Sri Lanka,Star,WK-Batsman,Experience & anchoring,Slow SR in T20
Dambulla Sixers,3,Sahibzada Farhan,Pakistan,Icon,Opening Batsman,Stylish aggressive start,Away conditions
Dambulla Sixers,4,Dushmantha Chameera,Sri Lanka,Icon,Fast Bowler,Raw pace 145kph+,Injury history
Dambulla Sixers,5,Vishva Lahiru Kumara,Sri Lanka,Emerging U23,Fast Bowler,Pace,Inexperience
Dambulla Sixers,6,Gayana Weerasinghe,Sri Lanka,Emerging U23,All-Rounder,Young talent,Limited exp
Dambulla Sixers,7,Shadley van Schalkwyk,USA,Associate Stars,Batsman,Hard hitter,Bowling limited
Dambulla Sixers,8,Gulbadin Naib,Afghanistan,Classic,All-Rounder,Useful dual role,Expensive
Dambulla Sixers,9,Dian Forrester,South Africa,Classic,All-Rounder,Batting depth,Costly bowling
Dambulla Sixers,10,Dhananjaya Lakshan,Sri Lanka,Classic,Batsman,Middle order,Limited power
Dambulla Sixers,11,Ramesh Mendis,Sri Lanka,Classic,Off-Spin All-Rounder,Spin control,Flat pitch costly
Dambulla Sixers,12,Sachitha Jayathilake,Sri Lanka,Classic,Batsman,Local depth,Limited intl
Dambulla Sixers,13,Mohammad Wasim Jr.,Pakistan,Gold,Fast Bowler,Right pace + yorkers,Expensive at death
Dambulla Sixers,14,Niroshan Dickwella,Sri Lanka,Gold,WK-Batsman,Aggressive opener,Inconsistent
Dambulla Sixers,15,Pavan Rathanayaka,Sri Lanka,Gold,Batsman,Middle order depth,Limited hitting
Dambulla Sixers,16,Akila Dananjaya,Sri Lanka,Gold,Off-Spin,Mystery variations,Gets hit on flat tracks
Dambulla Sixers,17,Fazalhaq Farooqi,Afghanistan,Platinum,Left-Arm Fast,Top wicket-taker T20,Expensive in death
Dambulla Sixers,18,Maheesh Theekshana,Sri Lanka,Platinum,Off-Spin (carrom),Best T20 spinner Sri Lanka,Flat-pitch vulnerability
Kandy Royals,1,Vijay Shankar,India,Star,All-Rounder,Bat + seam balance,Inconsistency
Kandy Royals,2,Angelo Mathews,Sri Lanka,Star,All-Rounder,Experience + reliability,Age & pace
Kandy Royals,3,Moeen Ali,England,Icon,Off-Spin All-Rounder,Big game bat + spin,Pace bowling
Kandy Royals,4,Wanindu Hasaranga,Sri Lanka,Icon,Leg-Spin All-Rounder,World-class wicket taker,Batsmen reading him
Kandy Royals,5,Isitha Wijesundara,Sri Lanka,Classic,Batsman,Batting depth,Limited power
Kandy Royals,6,Dushan Hemantha,Sri Lanka,Gold,All-Rounder,Reliable middle order,Bowling leak
Kandy Royals,7,Sahan Mihira,Sri Lanka,Emerging U23,Batsman,Young talent,Raw
Kandy Royals,8,Deva Pavan Sandesh De Silva,Sri Lanka,Emerging U23,Batsman,Emerging talent,Limited exp
Kandy Royals,9,Brandon McMullen,Scotland,Associate Stars,All-Rounder,Utility,Limited high pressure
Kandy Royals,10,Dale Phillips,New Zealand,Classic,All-Rounder,Pace + bat,Away conditions
Kandy Royals,11,Zahir Khan,Afghanistan,Classic,Left-Arm Wrist-Spin,Googly & turn,Expensive
Kandy Royals,12,Vishen Halambage,Sri Lanka,Classic,Batsman,Local knowledge,Limited intl
Kandy Royals,13,Muditha Lakshan,Sri Lanka,Classic,Batsman,Middle order,Limited big shots
Kandy Royals,14,Lahiru Udara,Sri Lanka,Classic,Batsman,Anchor,Slow SR
Kandy Royals,15,Daniel Sams,Australia,Gold,All-Rounder,Death batting + bowling,Inconsistent bowling
Kandy Royals,16,Kusal Perera,Sri Lanka,Gold,WK-Batsman,Explosive innings,Inconsistent
Kandy Royals,17,Asitha Fernando,Sri Lanka,Gold,Fast Bowler,Right-arm pace,Consistency
Kandy Royals,18,Garuka Sanketh,Sri Lanka,Gold,All-Rounder,Batting depth,Limited intl
Kandy Royals,19,Rahmanullah Gurbaz,Afghanistan,Platinum,WK-Batsman,Explosive opener world class,Spin on turning tracks
Kandy Royals,20,Nuwan Thushara,Sri Lanka,Platinum,Fast Bowler,Top pace + swing,Injury history
